id,name,group,habitat,mass.g,mass.reference
399,Psolus_antarcticus,Echinodermata,Benthic,0.08500000000000,Jacob_etal_2011
401,Psolus_dubiosus,Echinodermata,Benthic,0.08500000000000,Jacob_etal_2011
229,Beroe_cucumis,Miscellaneous,Pelagic,0.08500000000000,Jacob_etal_2011
314,Liothyrella_uva,Miscellaneous,Benthic,0.08500000000000,Jacob_etal_2011
315,Liothyrella_uva_antarctica,Miscellaneous,Benthic,0.08500000000000,Jacob_etal_2011
348,Nototanais_antarcticus,Crustacea,Benthic,0.10000000000000,Jacob_etal_2011
349,Nototanais_dimorphus,Crustacea,Benthic,0.10000000000000,Jacob_etal_2011
377,Peraeospinosus_pushkini,Crustacea,Benthic,0.10000000000000,Jacob_etal_2011
100,Clione_antarctica,Gastropoda,Benthic,0.10000000000000,Jacob_etal_2011
318,Luidiaster_gerlachei,Echinodermata,Benthic,0.11000000000000,Jacob_etal_2011
74,Bivalvia,Bivalvia,Benthic,0.11759375000000,Jacob_etal_2011
24,Ophiuroidea,Echinodermata,Benthic,0.12900000000000,Jacob_etal_2011
197,Alcyonidium_sp,Bryozoa,Benthic,0.13000000000000,Jacob_etal_2011
198,Alcyonium_antarcticum,Bryozoa,Benthic,0.13000000000000,Jacob_etal_2011
391,Primnoella_sp,Cnidaria,Benthic,0.13000000000000,Jacob_etal_2011
259,Dentalium _majorinum,Miscellaneous,Benthic,0.13000000000000,Jacob_etal_2011
279,Eusirus_antarcticus,Crustacea,Benthopelagic,0.14000000000000,Jacob_etal_2011
34,Salpa_thompsoni,Salpida,Pelagic,0.14000000000000,Jacob_etal_2011
134,Chiton,Miscellaneous,Benthic,0.14533000000000,Jacob_etal_2011
47,Thysanoessa_macrura,Crustacea,Pelagic,0.15000000000000,Jacob_etal_2011
188,Abyssocucumis_liouvillei,Echinodermata,Benthic,0.15000000000000,Jacob_etal_2011
192,Achlyonice_violaecuspidata,Echinodermata,Benthic,0.15000000000000,Jacob_etal_2011
175,Neobuccinum_eatoni,Gastropoda,Benthic,0.15000000000000,Jacob_etal_2011
169,Siphonophora,Miscellaneous,Benthic,0.15000000000000,"Diphyes_antarctica, from Jacob_etal_2011"
120,Euphausia_frigida,Euphausia,Pelagic,0.17000000000000,Jacob_etal_2011
202,Ammothea_carolinensis,Miscellaneous,Benthic,0.17000000000000,Jacob_etal_2011
407,Rhachotropis_antarctica,Crustacea,Benthopelagic,0.18000000000000,Jacob_etal_2011
242,Cinachyra_antarctica,Porifera,Benthic,0.18000000000000,Jacob_etal_2011
243,Cinachyra_barbata,Porifera,Benthic,0.18000000000000,Jacob_etal_2011
172,Sipunculida,Miscellaneous,Benthic,0.18445392600000,"Golfingia_spp, from Jacob_etal_2011"
427,Tritonia_antarctica,Gastropoda,Benthic,0.19000000000000,Jacob_etal_2011
31,Ctenophora,Miscellaneous,Pelagic,0.19000000000000,"Lyrocteis_flavopallidus, from Jacob_etal_2011"
319,Lyrocteis_flavopallidus,Zooplankton,Pelagic,0.19000000000000,Jacob_etal_2011
179,Cephalodiscus_sp,Miscellaneous,Benthic,0.20000000000000,Jacob_etal_2011
353,Nymphon_gracillimum,Miscellaneous,Benthic,0.20000000000000,Jacob_etal_2011
152,Chorismus_antarcticus,Miscellaneous,Benthic,0.21000000000000,Jacob_etal_2011
168,Primno_macropa,Crustacea,Pelagic,0.24000000000000,Jacob_etal_2011
189,Abyssorchomene_nodimanus,Crustacea,Benthopelagic,0.24000000000000,Jacob_etal_2011
157,Ophiurolepis_gelida,Echinodermata,Benthic,0.28000000000000,Jacob_etal_2011
298,Harpovoluta_charcoti,Gastropoda,Benthic,0.29000000000000,Jacob_etal_2011
352,Nuttallochiton_mirandus,Miscellaneous,Benthic,0.29000000000000,Jacob_etal_2011
402,Pteraster_affinis_aculeatus,Echinodermata,Benthic,0.31000000000000,Jacob_etal_2011
32,Gastropoda,Gastropoda,Benthic,0.31297488888889,Jacob_etal_2011
60,Cyllopus_lucasii,Crustacea,Benthopelagic,0.32000000000000,Jacob_etal_2011
375,Parschisturella_ceruviata ,Crustacea,Benthopelagic,0.32000000000000,Jacob_etal_2011
312,Limopsis_marionensis,Bivalvia,Benthic,0.35000000000000,Jacob_etal_2011
345,Notaeolidia_gigas,Gastropoda,Benthic,0.35000000000000,Jacob_etal_2011
428,Tritoniella_belli,Gastropoda,Benthic,0.35000000000000,Jacob_etal_2011
105,Notocrangon_antarcticus,Miscellaneous,Benthic,0.37000000000000,Jacob_etal_2011
300,Hyperia_macrocephala,Crustacea,Benthopelagic,0.42000000000000,Jacob_etal_2011
363,Ophiurolepis_brevirima,Echinodermata,Benthic,0.42000000000000,Jacob_etal_2011
190,Abyssorchomene_plebs ,Crustacea,Benthopelagic,0.47000000000000,Jacob_etal_2011
332,Melphidippa_antarctica,Crustacea,Benthopelagic,0.47000000000000,Jacob_etal_2011
339,Monoculodes_scabriculosus,Crustacea,Benthopelagic,0.47000000000000,Jacob_etal_2011
396,Pseudorchomene_coatsi,Crustacea,Benthopelagic,0.47000000000000,Jacob_etal_2011
149,Laternula_elliptica,Bivalvia,Benthic,0.55000000000000,Jacob_etal_2011
109,Odontaster_validus,Echinodermata,Benthic,0.57000000000000,Jacob_etal_2011
200,Alomasoma_belyaevi,Polychaeta,Benthic,0.57000000000000,Jacob_etal_2011
66,Liljeborgia_georgiana,Crustacea,Benthopelagic,0.59000000000000,Jacob_etal_2011
177,Aega_antarctica,Crustacea,Benthopelagic,0.59000000000000,Jacob_etal_2011
432,Uristes_gigas,Crustacea,Benthopelagic,0.59000000000000,Jacob_etal_2011
101,Decapoda,Miscellaneous,Benthic,0.59333333333333,Jacob_etal_2011
214,Ascidia_challengeri,Ascidiacea,Benthic,0.69000000000000,Jacob_etal_2011
236,Camptoplites_tricornis,Bryozoa,Benthic,0.69000000000000,Jacob_etal_2011
304,Isoschizoporella_tricuspis,Bryozoa,Benthic,0.69000000000000,Jacob_etal_2011
331,Melicerita_obliqua,Bryozoa,Benthic,0.69000000000000,Jacob_etal_2011
434,Ypsilocucumis_turricata,Echinodermata,Benthic,0.69000000000000,Jacob_etal_2011
389,Pontiothauma_ergata,Gastropoda,Benthic,0.69000000000000,Jacob_etal_2011
274,Epimeriella_walkeri,Crustacea,Benthopelagic,0.73000000000000,Jacob_etal_2011
370,Paramoera_walkeri,Crustacea,Benthopelagic,0.73000000000000,Jacob_etal_2011
414,Solaster_sp,Echinodermata,Benthic,0.75000000000000,Jacob_etal_2011
378,Perknaster_densus,Echinodermata,Benthic,0.78000000000000,Jacob_etal_2011
65,Iphimediella_cyclogena,Crustacea,Benthopelagic,0.81000000000000,Jacob_etal_2011
203,Ampelisca_richardsoni,Crustacea,Benthopelagic,0.81000000000000,Jacob_etal_2011
328,Maxilliphimedia_longipes,Crustacea,Benthopelagic,0.81000000000000,Jacob_etal_2011
356,Oediceroides_calmani,Crustacea,Benthopelagic,0.81000000000000,Jacob_etal_2011
217,Austrocidaris_canaliculata,Echinodermata,Benthic,0.89000000000000,Jacob_etal_2011
288,Golfingia_margaritacea_margaritacea,Miscellaneous,Benthic,0.92000000000000,Jacob_etal_2011
118,Polymastia_invaginata,Porifera,Benthic,0.92000000000000,Jacob_etal_2011
38,Hydrozoa,Cnidaria,Benthic,1.06745714285714,Jacob_etal_2011
346,Notasterias_armata,Echinodermata,Benthic,1.10000000000000,Jacob_etal_2011
102,Euphausia_crystallorophias,Euphausia,Pelagic,1.20000000000000,Jacob_etal_2011
342,Nematocarcinus_lanceopes,Miscellaneous,Benthic,1.20000000000000,Jacob_etal_2011
205,Anthomastus_bathyproctus,Cnidaria,Benthic,1.30000000000000,Jacob_etal_2011
365,Oswaldella_antarctica,Cnidaria,Benthic,1.30000000000000,Jacob_etal_2011
61,Epimeria_macrodonta,Crustacea,Benthopelagic,1.30000000000000,Jacob_etal_2011
91,Waldeckia_obesa,Crustacea,Benthopelagic,1.30000000000000,Jacob_etal_2011
199,Alexandrella_mixta,Crustacea,Benthopelagic,1.30000000000000,Jacob_etal_2011
429,Tryphosella_murrayi,Crustacea,Benthopelagic,1.30000000000000,Jacob_etal_2011
