con.taxonomy,res.taxonomy,con.mass.mean.g.,res.mass.mean.g.,interaction.dimensionality
Cyllopus lucasii,Calanus propinquus,0.32,0.0057,3D
Cyllopus lucasii,Calanoides acutus,0.32,0.0055,3D
Cyllopus lucasii,Metridia gerlachei,0.32,0.0023,3D
Cyllopus lucasii,Paraeuchaeta antarctica,0.32,0.0081,3D
Cyllopus lucasii,Conchoecia hettacra,0.32,4.4e-4,3D
Cyllopus lucasii,Alacia hettacra,0.32,4.4e-4,2D
Cyllopus lucasii,Alacia belgicae,0.32,4.4e-4,2D
Cyllopus lucasii,Metaconchoecia isocheira,0.32,4.4e-4,2D
Cyllopus lucasii,Boroecia antipoda,0.32,4.4e-4,2D
Cyllopus lucasii,Conchoecia antipoda,0.32,4.4e-4,3D
Cyllopus lucasii,Pelagobia longicirrata,0.32,0.0019,2D
Cyllopus lucasii,Bargmannia,0.32,0.012,3D
Cyllopus lucasii,Clione limacina,0.32,0.014,3D
Cyllopus lucasii,Clione antarctica,0.32,0.1,3D
Cyllopus lucasii,Clio pyramidata,0.32,0.017,3D
Cyllopus lucasii,Limacina helicina antarctica,0.32,9.4e-5,3D
Cyllopus lucasii,Eukrohnia hamata,0.32,0.0052,3D
Hyperiella dilatata,Actinocyclus actinochilus,0.0057,4.06e-11,2D
Hyperiella dilatata,Actinocyclus spiritus,0.0057,1.64e-11,2D
Hyperiella dilatata,Actinocyclus utricularis,0.0057,4.01e-12,2D
Hyperiella dilatata,Azpeitia tabularis,0.0057,1.14e-11,2D
Hyperiella dilatata,Banquisia belgicae,0.0057,4.01e-12,2D
Hyperiella dilatata,Chaetoceros bulbosum,0.0057,6.04e-13,2D
Hyperiella dilatata,Chaetoceros concavicornis,0.0057,4.01e-12,2D
Hyperiella dilatata,Chaetoceros criophilum,0.0057,4.01e-12,2D
Hyperiella dilatata,Chaetoceros dichaeta,0.0057,6.04e-13,2D
Hyperiella dilatata,Chaetoceros flexuosum,0.0057,1.67e-12,2D
Hyperiella dilatata,Chaetoceros neglectum,0.0057,9.11e-14,2D
Hyperiella dilatata,Chaetoceros pelagicus,0.0057,6.04e-13,2D
Hyperiella dilatata,Chaetoceros socialis,0.0057,1.71e-13,3D
Hyperiella dilatata,Corethron criophilum,0.0057,4.01e-12,2D
Hyperiella dilatata,Coscinodiscus oculoides,0.0057,1.59e-9,2D
Hyperiella dilatata,Cylindrotheca closterium,0.0057,4.89e-11,3D
Hyperiella dilatata,Eucampia antarctica,0.0057,7.29e-12,2D
Hyperiella dilatata,Fragilariopsis curta,0.0057,9.11e-14,2D
Hyperiella dilatata,Fragilariopsis cylindrus,0.0057,1.53e-14,2D
Hyperiella dilatata,Fragilariopsis kerguelensis,0.0057,3.29e-13,2D
Hyperiella dilatata,Fragilariopsis linearis,0.0057,4.53e-13,2D
Hyperiella dilatata,Fragilariopsis nana,0.0057,4.53e-13,2D
Hyperiella dilatata,Fragilariopsis obliquecostata,0.0057,4.53e-13,2D
Hyperiella dilatata,Fragilariopsis pseudonana,0.0057,9.11e-14,2D
Hyperiella dilatata,Fragilariopsis rhombica,0.0057,4.53e-13,2D
Hyperiella dilatata,Fragilariopsis ritscheri,0.0057,4.53e-13,2D
Hyperiella dilatata,Fragilariopsis separanda,0.0057,6.04e-13,2D
Hyperiella dilatata,Fragilariopsis sublinearis,0.0057,1.5e-13,2D
Hyperiella dilatata,Fragilariopsis vanheurckii,0.0057,9.11e-14,2D
Hyperiella dilatata,Manguinea fusiformis,0.0057,1.97e-10,2D
Hyperiella dilatata,Manguinea rigida,0.0057,9.1e-12,2D
Hyperiella dilatata,Navicula glaciei,0.0057,2.26e-14,2D
Hyperiella dilatata,Navicula schefterae,0.0057,2.26e-14,2D
Hyperiella dilatata,Nitzschia kerguelensis,0.0057,5.73e-12,2D
Hyperiella dilatata,Nitzschia lecointei,0.0057,4.63e-11,2D
Hyperiella dilatata,Nitzschia neglecta,0.0057,9.11e-14,2D
Hyperiella dilatata,Odontella weissflogii,0.0057,5.73e-12,2D
Hyperiella dilatata,Porosira glacialis,0.0057,2.94e-11,2D
Hyperiella dilatata,Porosira pseudodenticulata,0.0057,9.81e-11,2D
Hyperiella dilatata,Proboscia alata,0.0057,1.51e-12,2D
Hyperiella dilatata,Proboscia inermi,0.0057,9.94e-13,2D
Hyperiella dilatata,Proboscia truncata,0.0057,1.21e-11,2D
Hyperiella dilatata,Pseudo-Nitzschia heimii,0.0057,1.77e-10,2D
Hyperiella dilatata,Pseudo-Nitzschia liniola,0.0057,8.13e-10,2D
Hyperiella dilatata,Pseudo-Nitzschia prolongatoides,0.0057,3.74e-12,2D
Hyperiella dilatata,Pseudo-Nitzschia subcurvata,0.0057,2.22e-10,2D
Hyperiella dilatata,Rhizosolenia antennata,0.0057,7.78e-12,2D
Hyperiella dilatata,Stellarima microtrias,0.0057,1.01e-10,2D
Hyperiella dilatata,Thalassiosira antarctica,0.0057,1.14e-11,3D
Hyperiella dilatata,Thalassiosira australis,0.0057,2.57e-12,2D
Hyperiella dilatata,Thalassiosira frenguelliopsis,0.0057,3.54e-12,2D
Hyperiella dilatata,Thalassiosira gracilis,0.0057,2.57e-12,2D
Hyperiella dilatata,Thalassiosira gracilis expecta,0.0057,1.92e-11,2D
Hyperiella dilatata,Thalassiosira gravida,0.0057,5.2e-12,2D
Hyperiella dilatata,Thalassiosira lentiginosa,0.0057,6.35e-11,2D
Hyperiella dilatata,Thalassiosira ritscheri,0.0057,6.44e-11,2D
Hyperiella dilatata,Thalassiosira trifulta,0.0057,5.87e-12,2D
Hyperiella dilatata,Thalassiosira tumida,0.0057,6.54e-11,2D
Hyperiella dilatata,Trichotoxon reinboldii,0.0057,2.71e-13,2D
Hyperiella dilatata,Dictyocha speculum,0.0057,6.98e-12,2D
Hyperiella dilatata,Phaeocystis antarctica,0.0057,1.24e-13,2D
Hyperiella dilatata,Silicioflagellata,0.0057,3.44e-14,2D
Hyperiella dilatata,Bodo saltans,0.0057,2.28e-13,2D
Hyperiella dilatata,Amphidinium hadai,0.0057,4e-12,3D
Hyperiella dilatata,Gyrodinium lachryama,0.0057,1.2e-10,3D
Hyperiella dilatata,Parvicorbucula socialis,0.0057,3.3e-13,3D
Hyperiella dilatata,Rhincalanus gigas,0.0057,0.02,3D
Hyperiella dilatata,Calanus propinquus,0.0057,0.0057,3D
Hyperiella dilatata,Calanoides acutus,0.0057,0.0055,3D
Hyperiella dilatata,Metridia gerlachei,0.0057,0.0023,3D
Hyperiella dilatata,Paraeuchaeta antarctica,0.0057,0.0081,3D
Vibilia antarctica,Rhincalanus gigas,1.1e-4,0.02,3D
Vibilia antarctica,Calanus propinquus,1.1e-4,0.0057,3D
Vibilia antarctica,Calanoides acutus,1.1e-4,0.0055,3D
Vibilia antarctica,Metridia gerlachei,1.1e-4,0.0023,3D
Vibilia antarctica,Paraeuchaeta antarctica,1.1e-4,0.0081,3D
Vibilia antarctica,Conchoecia hettacra,1.1e-4,4.4e-4,3D
Vibilia antarctica,Alacia hettacra,1.1e-4,4.4e-4,2D
Vibilia antarctica,Alacia belgicae,1.1e-4,4.4e-4,2D
Vibilia antarctica,Metaconchoecia isocheira,1.1e-4,4.4e-4,2D
Vibilia antarctica,Boroecia antipoda,1.1e-4,4.4e-4,2D
Vibilia antarctica,Conchoecia antipoda,1.1e-4,4.4e-4,3D
Vibilia antarctica,Pelagobia longicirrata,1.1e-4,0.0019,2D
Vibilia antarctica,Bargmannia,1.1e-4,0.012,3D
Vibilia antarctica,Clione limacina,1.1e-4,0.014,3D
Vibilia antarctica,Clione antarctica,1.1e-4,0.1,3D
Vibilia antarctica,Clio pyramidata,1.1e-4,0.017,3D
Vibilia antarctica,Limacina helicina antarctica,1.1e-4,9.4e-5,3D
Vibilia antarctica,Eukrohnia hamata,1.1e-4,0.0052,3D
Vibilia stebbingi,Rhincalanus gigas,1.1e-4,0.02,3D
Vibilia stebbingi,Calanus propinquus,1.1e-4,0.0057,3D
Vibilia stebbingi,Calanoides acutus,1.1e-4,0.0055,3D
Vibilia stebbingi,Metridia gerlachei,1.1e-4,0.0023,3D
Vibilia stebbingi,Paraeuchaeta antarctica,1.1e-4,0.0081,3D
Vibilia stebbingi,Conchoecia hettacra,1.1e-4,4.4e-4,3D
Vibilia stebbingi,Alacia hettacra,1.1e-4,4.4e-4,2D
Vibilia stebbingi,Alacia belgicae,1.1e-4,4.4e-4,2D
Vibilia stebbingi,Metaconchoecia isocheira,1.1e-4,4.4e-4,2D
Vibilia stebbingi,Boroecia antipoda,1.1e-4,4.4e-4,2D
Vibilia stebbingi,Conchoecia antipoda,1.1e-4,4.4e-4,3D
Vibilia stebbingi,Pelagobia longicirrata,1.1e-4,0.0019,2D
Vibilia stebbingi,Bargmannia,1.1e-4,0.012,3D
Vibilia stebbingi,Clione limacina,1.1e-4,0.014,3D
Vibilia stebbingi,Clione antarctica,1.1e-4,0.1,3D
Vibilia stebbingi,Clio pyramidata,1.1e-4,0.017,3D
Vibilia stebbingi,Limacina helicina antarctica,1.1e-4,9.4e-5,3D
Vibilia stebbingi,Eukrohnia hamata,1.1e-4,0.0052,3D
Hyperia macrocephala,Solmundella bitentaculata,0.42,3.3,3D
Hyperia macrocephala,Dipulmaris antarctica,0.42,2.2,3D
Hyperia macrocephala,Desmonema glaciale,0.42,80,3D
Hyperia macrocephala,Periphylla periphylla,0.42,2.7,3D
Hyperia macrocephala,Clione limacina,0.42,0.014,3D
Hyperia macrocephala,Clione antarctica,0.42,0.1,3D
Hyperia macrocephala,Clio pyramidata,0.42,0.017,3D
Hyperia macrocephala,Limacina helicina antarctica,0.42,9.4e-5,3D
Hyperia macrocephala,Salpa thompsoni,0.42,0.14,3D
Epimeria similis,Actinocyclus actinochilus,3.7,4.06e-11,2D
Epimeria similis,Actinocyclus spiritus,3.7,1.64e-11,2D
Epimeria similis,Actinocyclus utricularis,3.7,4.01e-12,2D
Epimeria similis,Azpeitia tabularis,3.7,1.14e-11,2D
Epimeria similis,Banquisia belgicae,3.7,4.01e-12,2D
Epimeria similis,Chaetoceros bulbosum,3.7,6.04e-13,2D
Epimeria similis,Chaetoceros concavicornis,3.7,4.01e-12,2D
Epimeria similis,Chaetoceros criophilum,3.7,4.01e-12,2D
Epimeria similis,Chaetoceros dichaeta,3.7,6.04e-13,2D
Epimeria similis,Chaetoceros flexuosum,3.7,1.67e-12,2D
Epimeria similis,Chaetoceros neglectum,3.7,9.11e-14,2D
Epimeria similis,Chaetoceros pelagicus,3.7,6.04e-13,2D
Epimeria similis,Chaetoceros socialis,3.7,1.71e-13,3D
Epimeria similis,Corethron criophilum,3.7,4.01e-12,2D
Epimeria similis,Coscinodiscus oculoides,3.7,1.59e-9,2D
Epimeria similis,Cylindrotheca closterium,3.7,4.89e-11,3D
Epimeria similis,Eucampia antarctica,3.7,7.29e-12,2D
Epimeria similis,Fragilariopsis curta,3.7,9.11e-14,2D
Epimeria similis,Fragilariopsis cylindrus,3.7,1.53e-14,2D
Epimeria similis,Fragilariopsis kerguelensis,3.7,3.29e-13,2D
Epimeria similis,Fragilariopsis linearis,3.7,4.53e-13,2D
Epimeria similis,Fragilariopsis nana,3.7,4.53e-13,2D
Epimeria similis,Fragilariopsis obliquecostata,3.7,4.53e-13,2D
Epimeria similis,Fragilariopsis pseudonana,3.7,9.11e-14,2D
Epimeria similis,Fragilariopsis rhombica,3.7,4.53e-13,2D
Epimeria similis,Fragilariopsis ritscheri,3.7,4.53e-13,2D
Epimeria similis,Fragilariopsis separanda,3.7,6.04e-13,2D
Epimeria similis,Fragilariopsis sublinearis,3.7,1.5e-13,2D
Epimeria similis,Fragilariopsis vanheurckii,3.7,9.11e-14,2D
Epimeria similis,Manguinea fusiformis,3.7,1.97e-10,2D
Epimeria similis,Manguinea rigida,3.7,9.1e-12,2D
Epimeria similis,Navicula glaciei,3.7,2.26e-14,2D
Epimeria similis,Navicula schefterae,3.7,2.26e-14,2D
Epimeria similis,Nitzschia kerguelensis,3.7,5.73e-12,2D
Epimeria similis,Nitzschia lecointei,3.7,4.63e-11,2D
Epimeria similis,Nitzschia neglecta,3.7,9.11e-14,2D
Epimeria similis,Odontella weissflogii,3.7,5.73e-12,2D
Epimeria similis,Porosira glacialis,3.7,2.94e-11,2D
Epimeria similis,Porosira pseudodenticulata,3.7,9.81e-11,2D
Epimeria similis,Proboscia alata,3.7,1.51e-12,2D
Epimeria similis,Proboscia inermi,3.7,9.94e-13,2D
Epimeria similis,Proboscia truncata,3.7,1.21e-11,2D
Epimeria similis,Pseudo-Nitzschia heimii,3.7,1.77e-10,2D
Epimeria similis,Pseudo-Nitzschia liniola,3.7,8.13e-10,2D
Epimeria similis,Pseudo-Nitzschia prolongatoides,3.7,3.74e-12,2D
Epimeria similis,Pseudo-Nitzschia subcurvata,3.7,2.22e-10,2D
Epimeria similis,Rhizosolenia antennata,3.7,7.78e-12,2D
Epimeria similis,Stellarima microtrias,3.7,1.01e-10,2D
Epimeria similis,Thalassiosira antarctica,3.7,1.14e-11,3D
Epimeria similis,Thalassiosira australis,3.7,2.57e-12,2D
Epimeria similis,Thalassiosira frenguelliopsis,3.7,3.54e-12,2D
Epimeria similis,Thalassiosira gracilis,3.7,2.57e-12,2D
Epimeria similis,Thalassiosira gracilis expecta,3.7,1.92e-11,2D
Epimeria similis,Thalassiosira gravida,3.7,5.2e-12,2D
Epimeria similis,Thalassiosira lentiginosa,3.7,6.35e-11,2D
Epimeria similis,Thalassiosira ritscheri,3.7,6.44e-11,2D
Epimeria similis,Thalassiosira trifulta,3.7,5.87e-12,2D
Epimeria similis,Thalassiosira tumida,3.7,6.54e-11,2D
Epimeria similis,Trichotoxon reinboldii,3.7,2.71e-13,2D
Epimeria similis,Cibicides refulgens,3.7,1.2e-9,2D
Epimeria similis,Globocassidulina crassa,3.7,1.2e-9,2D
Epimeria similis,Lenticulina antarctica,3.7,1.2e-9,2D
Epimeria similis,Neogloboquadriana pachyderma,3.7,1.2e-9,2D
Epimeria similis,Pelagobia longicirrata,3.7,0.0019,2D
Epimeria similis,Silicularia rosea,3.7,0.0022,2D
Epimeria similis,Tubularia ralphii,3.7,0.029,2D
Epimeria similis,Oswaldella antarctica,3.7,1.3,2D
Epimeria similis,Monocaulus parvula,3.7,2.8,2D
Epimeria similis,Primnoisis antarctica,3.7,1.5,2D
Epimeria similis,Gersemia antarctica,3.7,5800,2D
Epimeria similis,Clavularia frankiliana,3.7,0.085,2D
Epimeria similis,Primnoella,3.7,0.13,2D
Epimeria similis,Ainigmaptilon antarcticus,3.7,0.13,2D
Epimeria similis,Armadillogorgia cyathella,3.7,0.13,2D
Epimeria similis,Alcyonium antarcticum,3.7,0.13,2D
Epimeria similis,Anthomastus bathyproctus,3.7,1.3,2D
Epimeria similis,Cinachyra antarctica,3.7,0.18,2D
Epimeria similis,Cinachyra barbata,3.7,0.18,2D
Epimeria similis,Bathydorus spinosus,3.7,1.2,2D
Epimeria similis,Iophon radiatus,3.7,2.3,2D
Epimeria similis,Kirkpatrickia variolosa,3.7,45,2D
Epimeria similis,Rossella racovitzae,3.7,45,2D
Epimeria similis,Stylocordyla borealis,3.7,45,2D
Epimeria similis,Homaxinella balfourensis,3.7,2.3,2D
Epimeria similis,Scolymastra joubini,3.7,720,2D
Epimeria similis,Latrunculia apicalis,3.7,1,2D
Epimeria similis,Latrunculia brevis,3.7,1,2D
Epimeria similis,Tetilla leptoderma,3.7,30,2D
Epimeria similis,Haliclona dancoi,3.7,5.6,2D
Epimeria similis,Mycale acerata,3.7,12,2D
Epimeria similis,Rossella antarctica,3.7,12,2D
Epimeria similis,Rossella tarenja,3.7,12,2D
Epimeria similis,Haliclona tenella,3.7,5.6,2D
Epimeria similis,Clathria pauper,3.7,2.3,2D
Epimeria similis,Calyx arcuarius,3.7,2.3,2D
Epimeria similis,Isodyctia toxophila,3.7,5.6,2D
Epimeria similis,Isodyctia cavicornuta,3.7,5.6,2D
Epimeria similis,Isodyctia steifera,3.7,5.6,2D
Epimeria similis,Axociella nidificata,3.7,6.5,2D
Epimeria similis,Rossella nuda,3.7,300,2D
Epimeria similis,Tentorium papillatum,3.7,5.6,2D
Epimeria similis,Tentorium semisuberites,3.7,5.6,2D
Epimeria similis,Tedania oxeata,3.7,5.6,2D
Epimeria similis,Tedania tantulata,3.7,5.6,2D
Epimeria similis,Tedania vanhoeffeni,3.7,5.6,2D
Epimeria similis,Phorbas areolatus,3.7,1.2,2D
Epimeria similis,Phorbas glaberrima,3.7,1.2,2D
Epimeria similis,Polymastia invaginata,3.7,0.92,2D
Epimeria similis,Polymastia isidis,3.7,0.92,2D
Epimeria similis,Anoxycalyx joubini,3.7,720,2D
Epimeria robusta,Euphausia crystallorophias,1.9,1.2,3D
Epimeria robusta,Euphausia frigida,1.9,0.17,3D
Epimeria robusta,Thysanoessa macrura,1.9,0.15,3D
Epimeria robusta,Euphausia superba,1.9,5.5,3D
Epimeria robusta,Vibilia antarctica,1.9,1.1e-4,3D
Epimeria robusta,Vibilia stebbingi,1.9,1.1e-4,3D
Epimeria robusta,Rhincalanus gigas,1.9,0.02,3D
Epimeria robusta,Calanus propinquus,1.9,0.0057,3D
Epimeria robusta,Calanoides acutus,1.9,0.0055,3D
Epimeria robusta,Metridia gerlachei,1.9,0.0023,3D
Epimeria robusta,Paraeuchaeta antarctica,1.9,0.0081,3D
Epimeria robusta,Conchoecia hettacra,1.9,4.4e-4,3D
Epimeria robusta,Alacia hettacra,1.9,4.4e-4,2D
Epimeria robusta,Alacia belgicae,1.9,4.4e-4,2D
Epimeria robusta,Metaconchoecia isocheira,1.9,4.4e-4,2D
Epimeria robusta,Boroecia antipoda,1.9,4.4e-4,2D
Epimeria robusta,Conchoecia antipoda,1.9,4.4e-4,3D
Epimeria robusta,Pelagobia longicirrata,1.9,0.0019,2D
Epimeria robusta,Taeniogyrus contortus,1.9,0.085,2D
Epimeria robusta,Bargmannia,1.9,0.012,3D
Epimeria robusta,Primnoisis antarctica,1.9,1.5,2D
Epimeria robusta,Gersemia antarctica,1.9,5800,2D
Epimeria robusta,Clavularia frankiliana,1.9,0.085,2D
Epimeria robusta,Primnoella,1.9,0.13,2D
Epimeria robusta,Ainigmaptilon antarcticus,1.9,0.13,2D
Epimeria robusta,Armadillogorgia cyathella,1.9,0.13,2D
Epimeria robusta,Alcyonium antarcticum,1.9,0.13,2D
Epimeria robusta,Anthomastus bathyproctus,1.9,1.3,2D
Epimeria robusta,Clione limacina,1.9,0.014,3D
Epimeria robusta,Clione antarctica,1.9,0.1,3D
Epimeria robusta,Clio pyramidata,1.9,0.017,3D
Epimeria robusta,Limacina helicina antarctica,1.9,9.4e-5,3D
Epimeria robusta,Eukrohnia hamata,1.9,0.0052,3D
Epimeria macrodonta,Actinocyclus actinochilus,1.3,4.06e-11,2D
Epimeria macrodonta,Actinocyclus spiritus,1.3,1.64e-11,2D
Epimeria macrodonta,Actinocyclus utricularis,1.3,4.01e-12,2D
Epimeria macrodonta,Azpeitia tabularis,1.3,1.14e-11,2D
Epimeria macrodonta,Banquisia belgicae,1.3,4.01e-12,2D
Epimeria macrodonta,Chaetoceros bulbosum,1.3,6.04e-13,2D
Epimeria macrodonta,Chaetoceros concavicornis,1.3,4.01e-12,2D
Epimeria macrodonta,Chaetoceros criophilum,1.3,4.01e-12,2D
Epimeria macrodonta,Chaetoceros dichaeta,1.3,6.04e-13,2D
Epimeria macrodonta,Chaetoceros flexuosum,1.3,1.67e-12,2D
Epimeria macrodonta,Chaetoceros neglectum,1.3,9.11e-14,2D
Epimeria macrodonta,Chaetoceros pelagicus,1.3,6.04e-13,2D
Epimeria macrodonta,Chaetoceros socialis,1.3,1.71e-13,3D
Epimeria macrodonta,Corethron criophilum,1.3,4.01e-12,2D
Epimeria macrodonta,Coscinodiscus oculoides,1.3,1.59e-9,2D
Epimeria macrodonta,Cylindrotheca closterium,1.3,4.89e-11,3D
Epimeria macrodonta,Eucampia antarctica,1.3,7.29e-12,2D
Epimeria macrodonta,Fragilariopsis curta,1.3,9.11e-14,2D
Epimeria macrodonta,Fragilariopsis cylindrus,1.3,1.53e-14,2D
Epimeria macrodonta,Fragilariopsis kerguelensis,1.3,3.29e-13,2D
Epimeria macrodonta,Fragilariopsis linearis,1.3,4.53e-13,2D
Epimeria macrodonta,Fragilariopsis nana,1.3,4.53e-13,2D
Epimeria macrodonta,Fragilariopsis obliquecostata,1.3,4.53e-13,2D
Epimeria macrodonta,Fragilariopsis pseudonana,1.3,9.11e-14,2D
Epimeria macrodonta,Fragilariopsis rhombica,1.3,4.53e-13,2D
Epimeria macrodonta,Fragilariopsis ritscheri,1.3,4.53e-13,2D
Epimeria macrodonta,Fragilariopsis separanda,1.3,6.04e-13,2D
Epimeria macrodonta,Fragilariopsis sublinearis,1.3,1.5e-13,2D
Epimeria macrodonta,Fragilariopsis vanheurckii,1.3,9.11e-14,2D
Epimeria macrodonta,Manguinea fusiformis,1.3,1.97e-10,2D
Epimeria macrodonta,Manguinea rigida,1.3,9.1e-12,2D
Epimeria macrodonta,Navicula glaciei,1.3,2.26e-14,2D
Epimeria macrodonta,Navicula schefterae,1.3,2.26e-14,2D
Epimeria macrodonta,Nitzschia kerguelensis,1.3,5.73e-12,2D
Epimeria macrodonta,Nitzschia lecointei,1.3,4.63e-11,2D
Epimeria macrodonta,Nitzschia neglecta,1.3,9.11e-14,2D
Epimeria macrodonta,Odontella weissflogii,1.3,5.73e-12,2D
Epimeria macrodonta,Porosira glacialis,1.3,2.94e-11,2D
Epimeria macrodonta,Porosira pseudodenticulata,1.3,9.81e-11,2D
Epimeria macrodonta,Proboscia alata,1.3,1.51e-12,2D
Epimeria macrodonta,Proboscia inermi,1.3,9.94e-13,2D
Epimeria macrodonta,Proboscia truncata,1.3,1.21e-11,2D
Epimeria macrodonta,Pseudo-Nitzschia heimii,1.3,1.77e-10,2D
Epimeria macrodonta,Pseudo-Nitzschia liniola,1.3,8.13e-10,2D
Epimeria macrodonta,Pseudo-Nitzschia prolongatoides,1.3,3.74e-12,2D
Epimeria macrodonta,Pseudo-Nitzschia subcurvata,1.3,2.22e-10,2D
Epimeria macrodonta,Rhizosolenia antennata,1.3,7.78e-12,2D
Epimeria macrodonta,Stellarima microtrias,1.3,1.01e-10,2D
Epimeria macrodonta,Thalassiosira antarctica,1.3,1.14e-11,3D
Epimeria macrodonta,Thalassiosira australis,1.3,2.57e-12,2D
Epimeria macrodonta,Thalassiosira frenguelliopsis,1.3,3.54e-12,2D
Epimeria macrodonta,Thalassiosira gracilis,1.3,2.57e-12,2D
Epimeria macrodonta,Thalassiosira gracilis expecta,1.3,1.92e-11,2D
Epimeria macrodonta,Thalassiosira gravida,1.3,5.2e-12,2D
Epimeria macrodonta,Thalassiosira lentiginosa,1.3,6.35e-11,2D
Epimeria macrodonta,Thalassiosira ritscheri,1.3,6.44e-11,2D
Epimeria macrodonta,Thalassiosira trifulta,1.3,5.87e-12,2D
Epimeria macrodonta,Thalassiosira tumida,1.3,6.54e-11,2D
Epimeria macrodonta,Trichotoxon reinboldii,1.3,2.71e-13,2D
Epimeria macrodonta,Cibicides refulgens,1.3,1.2e-9,2D
Epimeria macrodonta,Globocassidulina crassa,1.3,1.2e-9,2D
Epimeria macrodonta,Lenticulina antarctica,1.3,1.2e-9,2D
Epimeria macrodonta,Neogloboquadriana pachyderma,1.3,1.2e-9,2D
Epimeria macrodonta,Euphausia crystallorophias,1.3,1.2,3D
Epimeria macrodonta,Euphausia frigida,1.3,0.17,3D
Epimeria macrodonta,Thysanoessa macrura,1.3,0.15,3D
Epimeria macrodonta,Euphausia superba,1.3,5.5,3D
Epimeria macrodonta,Conchoecia hettacra,1.3,4.4e-4,3D
Epimeria macrodonta,Alacia hettacra,1.3,4.4e-4,2D
Epimeria macrodonta,Alacia belgicae,1.3,4.4e-4,2D
Epimeria macrodonta,Metaconchoecia isocheira,1.3,4.4e-4,2D
Epimeria macrodonta,Boroecia antipoda,1.3,4.4e-4,2D
Epimeria macrodonta,Conchoecia antipoda,1.3,4.4e-4,3D
Epimeria macrodonta,Pentanymphon antarcticum,1.3,3.4e-4,2D
Epimeria macrodonta,Ammothea carolinensis,1.3,0.17,2D
Epimeria macrodonta,Colossendeis scotti,1.3,3.7,2D
Epimeria macrodonta,Nymphon gracillimum,1.3,0.2,2D
Epimeria macrodonta,Mesothuria lactea,1.3,0.066,2D
Epimeria macrodonta,Achlyonice violaecuspidata,1.3,0.15,2D
Epimeria macrodonta,Bathyplotes gourdoni,1.3,4.8,2D
Epimeria macrodonta,Bathyplotes bongraini,1.3,4.8,2D
Epimeria macrodonta,Scotoplanes globosa,1.3,0.024,2D
Epimeria macrodonta,Molpadia musculus,1.3,2.3,2D
Epimeria macrodonta,Ypsilocucumis turricata,1.3,0.69,2D
Epimeria macrodonta,Psolidium incertum,1.3,0.043,2D
Epimeria macrodonta,Trachythyone parva,1.3,0.043,2D
Epimeria macrodonta,Laetmogone wyvillethompsoni,1.3,0.01,2D
Epimeria macrodonta,Pseudostichopus mollis,1.3,0.043,2D
Epimeria macrodonta,Pseudostichopus villosus,1.3,0.043,2D
Epimeria macrodonta,Elpidia glacialis,1.3,0.01,2D
Epimeria macrodonta,Chiridota weddellensis,1.3,2.3,2D
Epimeria macrodonta,Ekmocucumis steineni,1.3,2.3,2D
Epimeria macrodonta,Ekmocucumis turqueti,1.3,2.3,2D
Epimeria macrodonta,Abyssocucumis liouvillei,1.3,0.15,2D
Epimeria macrodonta,Psolus dubiosus,1.3,0.085,2D
Epimeria macrodonta,Psolus charcoti,1.3,0.062,2D
Epimeria macrodonta,Psolus antarcticus,1.3,0.085,2D
Epimeria macrodonta,Echinopsolus acanthocola,1.3,0.0081,2D
Epimeria macrodonta,Ekmocucumis turqueti turqueti,1.3,19,2D
Epimeria macrodonta,Taeniogyrus contortus,1.3,0.085,2D
Epimeria macrodonta,Silicularia rosea,1.3,0.0022,2D
Epimeria macrodonta,Tubularia ralphii,1.3,0.029,2D
Epimeria macrodonta,Oswaldella antarctica,1.3,1.3,2D
Epimeria macrodonta,Monocaulus parvula,1.3,2.8,2D
Epimeria macrodonta,Primnoisis antarctica,1.3,1.5,2D
Epimeria macrodonta,Gersemia antarctica,1.3,5800,2D
Epimeria macrodonta,Clavularia frankiliana,1.3,0.085,2D
Epimeria macrodonta,Primnoella,1.3,0.13,2D
Epimeria macrodonta,Ainigmaptilon antarcticus,1.3,0.13,2D
Epimeria macrodonta,Armadillogorgia cyathella,1.3,0.13,2D
Epimeria macrodonta,Alcyonium antarcticum,1.3,0.13,2D
Epimeria macrodonta,Anthomastus bathyproctus,1.3,1.3,2D
Epimeria macrodonta,Cinachyra antarctica,1.3,0.18,2D
Epimeria macrodonta,Cinachyra barbata,1.3,0.18,2D
Epimeria macrodonta,Bathydorus spinosus,1.3,1.2,2D
Epimeria macrodonta,Iophon radiatus,1.3,2.3,2D
Epimeria macrodonta,Kirkpatrickia variolosa,1.3,45,2D
Epimeria macrodonta,Rossella racovitzae,1.3,45,2D
Epimeria macrodonta,Stylocordyla borealis,1.3,45,2D
Epimeria macrodonta,Homaxinella balfourensis,1.3,2.3,2D
Epimeria macrodonta,Scolymastra joubini,1.3,720,2D
Epimeria macrodonta,Latrunculia apicalis,1.3,1,2D
Epimeria macrodonta,Latrunculia brevis,1.3,1,2D
Epimeria macrodonta,Tetilla leptoderma,1.3,30,2D
Epimeria macrodonta,Haliclona dancoi,1.3,5.6,2D
Epimeria macrodonta,Mycale acerata,1.3,12,2D
Epimeria macrodonta,Rossella antarctica,1.3,12,2D
Epimeria macrodonta,Rossella tarenja,1.3,12,2D
Epimeria macrodonta,Haliclona tenella,1.3,5.6,2D
Epimeria macrodonta,Clathria pauper,1.3,2.3,2D
